Org Name,Emails,IsPurchase
University of Agriculture Campus,info@uascampusschool.ac.in,FALSE
Brigade Foundation,bfcommunication@brigadeschools.edu.in;tbsgadmission@brigadeschools.edu.in,FALSE
Max Muller Public School,admin@maxmullerpublicschool.com;info@maxmullerpublicschool.com,FALSE
Cluny Convent High School,info@clunymalleswaram.org;mariacluny@rediffmail.com,FALSE
Carmel High School,carmelit1968@gmail.com,FALSE
Sri Krishna International Public School,info@srikrishnaschool.com;support@srikrishnaschool.com,FALSE
aryan presidency schools,enquiry@aryanpresidencyschool.com,FALSE
S.K. Educations,admissions@bachpanglobal.com;response@bachpanglobal.com,FALSE
Carmel Convent High School,carmeljnr@gmail.com,FALSE
The Valley School,valleyschool.kfi@gmail.com,FALSE
Edify School,admin@edifyschoolbengaluru.com,FALSE
DAV Public School,davbangalore@gmail.com,FALSE
Delhi Public School,info@dpswestblr.com,FALSE
Tattva Pearson School,admissions@tattvaschool.edu.in;feedback@tattvaschool.edu.in,FALSE
V.S.S. INTERNATIONAL PUBLIC SCHOOL,enquiry@vssips.in;info@vssips.in,FALSE
BGS Public School,info@bgspskengeri.edu.in;bgspublicschool@yahoo.com ,FALSE
PRESIDENCY GROUP OF INSTITUTIONS,presidencyschoolnorth@presidency.edu.in;psbn@presidency.edu.in,FALSE
NITTE Eductional Trust,nis.bangalore@nitte.edu.in,FALSE
STONEHILL INTERNATIONAL SCHOOL,info@stonehill.in,FALSE
canadian international school,info@cisb.org.in;enroll@cisb.org.in,FALSE
Legacy School,info@lsb.edu.in,FALSE
Bangalore International School ,info@bischool.in,FALSE
Jain Heritage School,info@jhs.ac.in ,FALSE
V Blooms International School,vbloomsschool@gmail.com,FALSE
st dominics school,stdominicsschool@gmail.com,FALSE
Sri Gurukulam Secondary School,srigurukulam@gmail.com,FALSE
Vanaprastha International School,info@vanaprastha.in,FALSE
St Philomena’s Academy ,hello@stphilomenasacademy.com,FALSE
BRS Global School ,brsglobal@gmail.com;brsglobal9@gmail.com,FALSE
INDUS INTERNATIONAL SCHOOL,principal@indusschool.com;feedback@indusschool.com,FALSE
The Ashok Leyland School ,alshosur@gmail.com;alsinfo@thealschool.org,FALSE
Litera Valley Zee School,zeeschoolhosur@gmail.com,FALSE
Siddharth Village School,svishosur@gmail.com,FALSE
School Of India,info@schoolofindia.com,FALSE
EISB,info.bangalore@eis.edu.in,FALSE
Alliance University,vc@alliance.edu.in;registrar.exams@alliance.edu.in,FALSE
RYAN INTERNATIONAL SCHOOL,ris.blr4@ryangroup.org,FALSE
Golden Independent PU Collge,info@goldenpucollege.com,FALSE
christ international school,christinternationalschool@gmail.com,FALSE
Vanaprastha International School,info@vanaprastha.in,FALSE
Shanti Bhavan Educational Trust,info@shantibhavanchildren.org,FALSE
BTL Institute of Technology and Management ,principal.btlit@gmail.com;principal@btlit.ac.in,FALSE
PES University,admissions@pes.edu,FALSE
